POS,Player,Team,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
162,Rohit Sharma,MI,213,32,56,453,15,4/6,30.2,8.02,22.6,1,0
163,Laxmi Ratan Shukla,DC,47,27,52,447,15,3/25,29.8,8.54,20.93,0,0
164,Kartik Tyagi,SRH,19,19,66,662,15,2/29,44.13,9.98,26.53,0,0
165,Alfonso Thomas,PWI,15,15,52,406,14,3/22,29,7.73,22.5,0,0
166,James Hopes,DC,21,20,60,548,14,2/2,39.14,9.13,25.71,0,0
167,Daniel Sams,MI,16,16,60,523,14,4/30,37.36,8.72,25.71,1,0
168,Shahbaz Ahmed,RCB,39,27,62,567,14,3/7,40.5,9.15,26.57,0,0
169,Mohammad Nabi,SRH,17,17,57,408,13,4/11,31.38,7.14,26.38,1,0
170,Dirk Nannes,DC,16,16,58,413,13,2/12,31.77,7.1,26.85,0,0
171,Ramesh Powar,PBKS,27,26,71,527,13,2/11,40.54,7.42,32.77,0,0
172,Mitchell Santner,CSK,15,15,52,358,13,2/13,27.54,6.88,24,0,0
173,Ryan McLaren,KKR,18,18,59,542,12,2/28,45.17,9.19,29.5,0,0
174,Glenn McGrath,DC,14,14,54,357,12,4/29,29.75,6.61,27,1,0
175,Ankit Sharma,RR,22,21,61,450,12,2/20,37.5,7.36,30.58,0,0
176,Vikram Singh,PBKS,18,17,57,502,12,3/29,41.83,8.81,28.5,0,0
177,Deepak Hooda,LSG,107,31,59,509,10,2/16,50.9,8.6,35.5,0,0
178,David Hussey,CSK,64,26,52,474,8,2/2,59.25,8.97,39.63,0,0
179,Jayant Yadav,GT,20,20,65,445,8,1/23,55.63,6.85,48.75,0,0
